Num_Features,R2,RMSE
10,0.5182200147716801,292.25637023532374
20,0.5464696756724624,283.5585679770383
30,0.5594189250094976,279.48115429111147
40,0.5528544999689264,281.55551683888746
50,0.5700108707780266,276.1012337021283
60,0.5619515573229154,278.676713079663
70,0.5602390884563162,279.2208991241916
80,0.5837544593934348,271.652937772179
90,0.5881041664453621,270.2298428261016
141,0.5918002078652883,269.01469169411854
191,0.5891360000545247,269.89115637324346
241,0.5954968582703273,267.7938251248924
291,0.5919650728447874,268.9603609698568
341,0.5939826674458382,268.29457795907547
391,0.5903236269023838,269.50080586008943
441,0.5980890061536273,266.9344042843398
491,0.5918563153600783,268.99620288128494
