Num_Features,R2,MAE,RMSE
5,0.27885133062274514,96.17903532672656,134.22907387405047
10,0.4544760535381055,78.34429928462367,116.74575553596453
15,0.5553333954087514,71.57202345109921,105.4026300245415
20,0.5857612888089307,69.03463255470119,101.73245650900469
25,0.5991231925083176,68.08581575252954,100.0782392842924
30,0.6039672219978129,66.62082201645336,99.47174955375199
35,0.5915665577330496,67.49466810022993,101.01708631668906
40,0.5902690345094446,67.42096366965497,101.1774160896713
45,0.5978874213529847,67.22026962669712,100.2323747123099
50,0.6033198723775213,66.89868356456158,99.55301392174086
55,0.5922895271126531,67.27570625586216,100.92764137908236
60,0.6075142911732265,66.15130386234871,99.0252880584278
65,0.6058789209838371,66.80293783415944,99.23137793508154
70,0.609944815090839,66.04174612912372,98.71819776141682
75,0.6034295237280918,66.61020381941728,99.53925361949767
80,0.6137664660885904,66.280732129201,98.23340079389224
85,0.6159870710576647,65.7127435503854,97.95060294943139
90,0.6202225725662858,65.41004526513555,97.40892816708869
95,0.6167303296317135,65.8165569431778,97.85576514377125
100,0.6148063257129138,65.7900557172739,98.10107438371962
111,0.6188473346145498,65.02966641829302,97.58513584944365
131,0.6247839067947927,65.19132524566648,96.82219389346274
151,0.6213564811952891,64.96869825687146,97.26340162340087
171,0.6293530009967498,64.40536162933441,96.23087496218376
191,0.6264960567313009,64.3993063120947,96.6010364591862
211,0.6284291581401333,64.45170895233663,96.35072872882826
231,0.6226048352341831,65.22931607153431,97.1029348564061
251,0.6244773317728687,64.45147563570677,96.86174071189276
271,0.6265270999973459,64.7099256629658,96.59702194469153
291,0.6254146001375995,64.89581975259219,96.74078641040637
311,0.620401454301708,64.86600477515077,97.3859848203126
331,0.6209336057671776,65.18073427859682,97.31769916609511
351,0.6282314122723869,63.83066282383619,96.37636371150923
371,0.6225300855754341,64.81566645822055,97.11255084058354
391,0.6303905177639644,64.0794451375901,96.09609562568073
411,0.6245961120205213,64.67828722631363,96.84642050293546
431,0.6312910396076905,64.03200060789759,95.97895928117082
451,0.6266497262286346,64.56493412963115,96.58116229163603
471,0.6284881933204997,64.24546572261761,96.34307432224313
