Num_Features,MAE
10,0.33381105927670673
20,0.30372402360097467
30,0.3002764019071951
40,0.29364032297359377
50,0.28683263303044854
60,0.2898099594831742
70,0.28734760893971545
80,0.289363057441908
90,0.2793248898289567
131,0.27852997565111415
181,0.2771092907681188
231,0.27586530039181506
281,0.2757902933198712
331,0.27776922072433097
381,0.2746573797421906
431,0.27589905981931984
481,0.2739540548971868
531,0.2745734577316841
581,0.2743913124839643
631,0.27511055020140274
681,0.2738341830032677
731,0.27554880695581146
781,0.2751880555763262
831,0.2740944937251863
881,0.273233021003534
931,0.27545650957917395
