Feature_Name
MinEStateIndex
qed
SPS
MolWt
NumValenceElectrons
MaxPartialCharge
MinPartialCharge
MinAbsPartialCharge
BCUT2D_MRHI
BalabanJ
Chi0n
Chi0v
HallKierAlpha
Kappa2
Kappa3
PEOE_VSA14
SMR_VSA10
SlogP_VSA2
TPSA
EState_VSA2
Phi
MolMR
SlogP_VSA0
SMR_VSA0
Gasteiger_q_std
HeteroAtomFrac
Flexibility_Score
Complexity_per_MW
FracSingle
FracDouble
