Num_Features,R2,RMSE
10,0.44031672292081225,311.4238665779994
20,0.45948470038786593,306.04460132478044
30,0.48837634085268455,297.7529252697441
40,0.5013200808335216,293.9623207594346
50,0.5028694733511898,293.5052967918164
60,0.4996392530068682,294.4573120175056
70,0.4904762224993331,297.14125615660055
80,0.4989279336009338,294.666539873634
90,0.49956726281988084,294.47849400935746
124,0.4980884800483457,294.91326621899356
174,0.5001217149390735,294.3153157610875
224,0.497847819234293,294.98396150902846
274,0.49658457290001545,295.3547687652463
324,0.489134253129619,297.53229998022397
374,0.49260957993252663,296.51854386500634
424,0.49168008398923335,296.7900179246737
474,0.4898345973668914,297.3282869913595
