Num_Features,R2,RMSE
10,0.6156255859101314,0.3869715845316387
20,0.6633625373840644,0.3621454745799006
30,0.6729759936185427,0.35693707271479813
40,0.6678476107631481,0.35972492490647845
50,0.679821520082865,0.3531814696807652
60,0.6805393857358086,0.3527853170124259
70,0.6852248194851414,0.3501886621290987
80,0.6838446433680277,0.35095554817631147
90,0.685410527428056,0.350085346469563
126,0.6926044434283363,0.3460593860434895
176,0.6944150227069819,0.34503872504403504
226,0.6932077703227107,0.34571961294389225
276,0.6937355857137358,0.3454220912547888
326,0.6935777746534842,0.3455110738521752
376,0.6928125007189423,0.3459422529815994
426,0.6941231707514781,0.34520345204617425
476,0.6928836370308653,0.3459021952303304
