Num_Features,Score_R2
50,0.6423428878993159
70,0.6393850308349168
90,0.64807323785224
110,0.6496122818303912
130,0.6537402559239048
150,0.6567766681675614
170,0.6570497555421404
190,0.6558847048366817
210,0.6581447463066467
230,0.6578581016699588
250,0.6592549147350314
270,0.6591443015046738
290,0.6579787413220263
310,0.6585958507481159
330,0.6591195818228991
350,0.6597112161940292
370,0.6593545964716122
390,0.6598109261131081
410,0.6590782946009838
430,0.6593034195648556
450,0.6595648642125473
470,0.6598556822920653
490,0.6596308449704865
510,0.6593773096341745
530,0.6597413839924697
550,0.6585836360093499
570,0.6599212604339919
590,0.6598096505196201
610,0.6596797632003123
630,0.6599509470851318
650,0.6587823797098269
670,0.6589428524274982
690,0.6589428524274982
710,0.6593420360753078
730,0.6596965241425874
750,0.6596965241425874
770,0.6596965241425874
790,0.6596965241425874
810,0.6596965241425874
830,0.6596965241425874
850,0.6596965241425874
870,0.6596965241425874
890,0.6596965241425874
910,0.6596965241425874
930,0.6596965241425874
950,0.6596965241425874
