model,mae_holdout,rmse_holdout,r2_holdout,mae_cv,rmse_cv,r2_cv
lightgbm,29.979776750572697,43.90786865548125,0.7428529020624752,29.69462141417803,45.14205273692495,0.7186260804555729
random_forest,30.640712481013825,44.59054300707067,0.7347945548263424,30.654685948080267,45.793932504421015,0.7104409706258776
extra_trees,28.98733867237313,42.66623864187391,0.7571905244721215,28.67114590836431,44.112197640781844,0.7313179693613476
grad_boost,31.164893010809152,44.36506275459676,0.7374698933822923,31.46460415668599,46.60345772317534,0.7001130873692328
hist_grad_boost,28.682132015862596,43.02302415188767,0.7531126812069924,29.152783429016832,44.091519260450625,0.7315698093194072
